loc_id,district,district_type,province,electricity_access,hdi,expenditure_pc,poverty_rate,population,grdp_total,grdp_per_capita,water_access,literacy_rate,longitude,latitude,area_km2,population_density
ID.AC.AB,Aceh Barat,regency,Nanggroe Aceh Darussalam,99.517822265625,71.22,1273014.25,18.79,210113,6945830,33.057592819102105,79.750617980957,98.0074691772461,96.18542532390515,4.456664162698203,2823.2749557088555,74.42172770850289
ID.AC.AD,Aceh Barat Daya,regency,Nanggroe Aceh Darussalam,99.5849227905273,66.56,882708.5625,16.26,150393,3003110,19.96841608319536,68.7287063598633,96.6298370361328,96.87833494508764,3.824880551244211,1902.003868257794,79.07081710499236
ID.AC.AG,Aceh Tenggara,regency,Nanggroe Aceh Darussalam,99.6017379760742,69.36,837555.875,13.43,216495,3442390,15.900551975796208,50.6552391052246,99.3268585205078,97.69557382028601,3.3695646201027225,4166.198901737617,51.96463373597102
ID.AC.AI,Aceh Timur,regency,Nanggroe Aceh Darussalam,99.1263732910156,67.39,782659.4375,14.47,436081,8157300,18.705928485762968,55.6930541992188,98.5956192016602,97.62858552971551,4.628700439990225,5464.2101937821,79.80677619177801
ID.AC.AJ,Aceh Jaya,regency,Nanggroe Aceh Darussalam,99.0540466308594,69.74,1045319.0625,13.36,92892,1994210,21.468048917021918,71.9354705810547,98.1164398193359,95.67877865939249,4.832179958263852,3895.135595874147,23.84820700424247
ID.AC.AK,Aceh Singkil,regency,Nanggroe Aceh Darussalam,100,68.91,846539.1875,20.78,124101,1734600,13.977324920830613,57.6173057556152,98.2815856933594,97.84745720496667,2.3499898346442416,1894.254803288885,65.51441748202545
ID.AC.AM,Aceh Tamiang,regency,Nanggroe Aceh Darussalam,99.4258117675781,69.23,758328.5,13.38,295011,5984500,20.285684262620716,77.98193359375,97.6997909545898,97.97683723083512,4.2276954072847115,2151.94376567662,137.09047824827422
ID.AC.AR,Aceh Besar,regency,Nanggroe Aceh Darussalam,99.155387878418,73.55,1070577.25,13.92,425216,10004040,23.526960415412404,92.2865676879883,98.6592330932617,95.51560203982812,5.379937366458075,2910.538534519494,146.09529987556053
ID.AC.AS,Aceh Selatan,regency,Nanggroe Aceh Darussalam,99.2346801757813,66.9,838987,13.09,238081,4237550,17.79877436670713,57.0871810913086,95.9755935668945,97.43547261927901,3.162820449389602,4234.3984954157995,56.22545923765767
ID.AC.AT,Aceh Tengah,regency,Nanggroe Aceh Darussalam,99.9176254272461,73.14,1137757.375,15.5,212494,5818150,27.3803025026589,63.389087677002,99.4474487304688,96.85913339772918,4.530049782321546,4726.964705072551,44.953582956092454
ID.AC.AU,Aceh Utara,regency,Nanggroe Aceh Darussalam,100,69.22,748338.1875,17.39,619407,16922860,27.32106676224195,58.9182624816895,98.2057037353516,97.18198367536026,5.014861961779364,2722.6534679764095,227.5012252882734
ID.AC.BA,Banda Aceh,city,Nanggroe Aceh Darussalam,100,85.07,1970793.625,7.22,270321,15170990,56.122128876409896,100,99.6888732910156,95.32797048540262,5.558279007220373,55.35734285520923,4883.200422156142
ID.AC.BI,Bireuen,regency,Nanggroe Aceh Darussalam,99.1601333618164,72.27,907366.3125,13.56,471635,10076170,21.364338948551318,67.606559753418,98.885612487793,96.6061865188329,5.093661046607005,1798.8843664668373,262.18194387131814
ID.AC.BM,Bener Meriah,regency,Nanggroe Aceh Darussalam,98.1153335571289,72.97,1158999.125,19.3,148175,3627150,24.478825712839548,66.1787948608398,99.6852569580078,97.00706157032873,4.767350419851081,1939.1768023556617,76.41128948118647
ID.AC.GL,Gayo Lues,regency,Nanggroe Aceh Darussalam,99.2925109863281,66.87,1270566.25,19.87,94100,1932460,20.536238044633368,71.9162216186523,94.9782257080078,97.35750857665825,3.9820122760273877,5475.381194425446,17.186018043055046
ID.AC.LA,Langsa,city,Nanggroe Aceh Darussalam,100,77.16,1288970.125,10.57,176811,3865510,21.862384127684365,91.2702713012695,99.4385757446289,97.98265730467723,4.483583548827978,213.0299564781759,829.9818622838314
ID.AC.LH,Lhokseumawe,city,Nanggroe Aceh Darussalam,99.7915420532227,77.3,1184345.25,11.18,207202,7116190,34.344214824181236,98.0763702392578,99.2388610839844,97.11029876003096,5.164415183947284,138.62476097104516,1494.6968964893558
ID.AC.NR,Nagan Raya,regency,Nanggroe Aceh Darussalam,100,69.11,933084.8125,17.97,167294,6486710,38.774313484046054,63.4608268737793,97.2206878662109,96.50673234070594,4.1554536013793,3438.343711141411,48.65540331465704
ID.AC.PI,Pidie,regency,Nanggroe Aceh Darussalam,99.6842422485352,70.41,858341.0625,19.46,444976,7785990,17.497550429686097,64.8465957641602,96.6507186889648,96.00723259000827,5.068294564201126,2988.5324385261943,148.89448555540577
ID.AC.PJ,Pidie Jaya,regency,Nanggroe Aceh Darussalam,99.8205871582031,72.87,1005819.25,19.31,161215,2604590,16.156002853332506,67.5543365478516,97.5098495483398,96.21354486080389,5.12480719594974,947.6351788895741,170.123485906158
ID.AC.SA,Sabang,city,Nanggroe Aceh Darussalam,99.4267730712891,75.77,1454932.5,15.6,34874,1137430,32.61541549578482,98.3668594360352,98.4532928466797,95.3056015749813,5.837653233062101,123.25643216277963,282.93858087619606
ID.AC.SB,Subulussalam,city,Nanggroe Aceh Darussalam,100,64.46,906490.375,17.95,81417,1358690,16.68803812471597,45.0908470153809,97.2548141479492,97.937391879447,2.735517629994953,1172.5208725656628,69.43756985907348
ID.AC.SI,Simeulue,regency,Nanggroe Aceh Darussalam,99.7905578613281,65.7,833339.625,18.99,93228,1604630,17.211889132020424,77.8218460083008,99.2505493164063,96.08556651604667,2.613395401081575,1844.5484121108523,50.542452227270275
ID.BA.BD,Badung,regency,Bali,100,81.59,1839556.5,1.78,670227,37335770,55.7061562724271,98.0185623168945,99.8087997436523,115.18836955010676,-8.583776422637746,397.48061871815173,1686.1878754275795
ID.BA.BL,Buleleng,regency,Bali,99.4306869506836,72.3,930014,5.19,660568,23437490,35.48081348173088,75.10009765625,91.4023742675781,114.96245119494256,-8.200315467865925,1316.41947844632,501.79142045180254
ID.BA.BN,Bangli,regency,Bali,99.680778503418,69.35,981077.0625,4.44,227296,4588860,20.188916654934534,75.6392974853516,89.0610427856445,115.34680899437708,-8.29362835170115,525.1495335385149,432.82148318490306
ID.BA.DE,Denpasar,city,Bali,100,83.68,2000292.875,2.1,947116,36164890,38.184224530047004,98.5437774658203,99.3071899414063,115.2209367589211,-8.668353926837264,126.14926737447422,7507.899329993612
ID.BA.GI,Gianyar,regency,Bali,100,77.14,1438469.875,3.88,512175,19046600,37.18767999219017,94.3254470825195,94.3195037841797,115.28755526334973,-8.480447303876097,367.1556011860363,1394.9807611418762
ID.BA.JE,Jembrana,regency,Bali,100,72.35,946405.9375,4.88,278134,9421370,33.87349263304738,75.5921936035156,95.3984069824219,114.68262548894218,-8.312541982175748,857.1967565324028,324.4692631889191
ID.BA.KA,Karangasem,regency,Bali,100,67.34,769334.5,6.25,416623,11134800,26.72632091843225,83.8939056396484,85.008056640625,115.53010675314846,-8.37417581770083,843.654036470217,493.831573121037
ID.BA.KL,Klungkung,regency,Bali,99.7577667236328,71.71,1115217.5,5.4,179075,5992740,33.46497277676951,85.4123382568359,87.8157958984375,115.4933153778432,-8.66627204919376,314.5697535945679,569.2696069908876
ID.BA.TA,Tabanan,regency,Bali,99.85595703125,76.16,1198205.625,4.21,445709,15789280,35.42508677186236,87.2596054077148,94.9316787719727,115.07876159156154,-8.428156270268689,864.6950539298714,515.4522371491996
ID.BB.BA,Bangka,regency,Kepulauan Bangka-Belitung,99.6349792480469,72.39,1441839.625,4.92,337337,10063060,29.83088128488722,84.7959899902344,98.2981872558594,105.92125586989373,-1.905740536352959,3031.037409414743,111.29423838590489
ID.BB.BB,Bangka Barat,regency,Kepulauan Bangka-Belitung,99.6395492553711,69.05,1315121.25,2.67,213163,10901940,51.14367878102673,75.2522277832031,97.7897109985352,105.48944547522186,-1.890809507458156,2901.3969102871806,73.46909319583618
ID.BB.BE,Belitung,regency,Kepulauan Bangka-Belitung,99.5444488525391,72.46,1677198.625,6.29,189824,6505320,34.270271409305465,87.5782699584961,98.8852462768555,107.71127654784951,-2.8699748523104853,2319.6833784427263,81.83185764232816
ID.BB.BG,Bangka Tengah,regency,Kepulauan Bangka-Belitung,100,70.33,1425166.875,5.02,196196,5885000,29.99551468939224,86.3563766479492,98.0854110717773,106.24330700296387,-2.4301495467551573,2135.8994689053816,91.85638315671649
ID.BB.BS,Bangka Selatan,regency,Kepulauan Bangka-Belitung,99.8247604370117,66.54,1302242.875,3.36,209973,6181380,29.438927862153704,77.3958587646484,97.3757629394531,106.34215972179099,-2.7710049943546915,3724.0122776522294,56.38354128423433
ID.BB.BT,Belitung Timur,regency,Kepulauan Bangka-Belitung,99.2537307739258,70.84,1678427.625,6.6,129572,5503990,42.47823603865032,86.7391738891602,98.1727905273438,108.05213460767702,-2.906991383443997,2561.9472338329283,50.57559277134189
ID.BB.PP,Pangkal Pinang,city,Kepulauan Bangka-Belitung,100,77.97,1844804.125,4.25,212727,9076280,42.66632820469428,90.8540573120117,98.0003433227539,106.113564291413,-2.1107676132739037,105.03066288966966,2025.3799618827586
ID.BE.BE,Bengkulu,city,Bengkulu,99.654426574707,80.35,1673544.625,18.09,385137,15341930,39.83499378143362,85.6162414550781,99.2830963134766,102.31268064555506,-3.8275911547400123,187.9490304914351,2049.1566197121233
ID.BE.BS,Bengkulu Selatan,regency,Bengkulu,99.6193618774414,70.27,952300.6875,18.54,158409,3616000,22.826985840450984,48.1496047973633,97.6448211669922,103.02371389662596,-4.34866604967054,1232.263998502438,128.55118723951472
ID.BE.BT,Bengkulu Tengah,regency,Bengkulu,97.6876907348633,67.3,1007983.1875,8.8,114695,2887510,25.17555255242164,45.2566299438477,96.8251953125,102.4116624542339,-3.687444121266814,1049.29557268514,109.30666533405481
ID.BE.BU,Bengkulu Utara,regency,Bengkulu,99.2238845825195,68.8,1026336.375,11.65,310003,5206370,16.79457940729606,35.3487777709961,96.4453125,102.01558507790037,-3.4262282606542853,4454.5959139524775,69.59172189536274
ID.BE.KA,Kaur,regency,Bengkulu,97.9881973266602,66.78,920346.75,18.89,121211,2261090,18.654165051026723,45.7806587219238,98.3526153564453,103.407474946153,-4.607197841780718,2552.747670133514,47.482562189023724
ID.BE.KE,Kepahiang,regency,Bengkulu,97.6205978393555,67.67,794754.3125,14.74,137191,2806090,20.453892748066565,32.9155158996582,98.2614669799805,102.64169826046792,-3.628294546067689,709.0411421023286,193.4880669875157
ID.BE.LE,Lebong,regency,Bengkulu,99.1891098022461,66.84,939514.5,11.77,116610,2124800,18.221421833461967,66.1597290039063,98.2614440917969,102.24948156070276,-3.0899506769908727,1673.632255013376,69.67480439666122
ID.BE.MU,Mukomuko,regency,Bengkulu,99.3328018188477,68.12,1152310,11.7,193881,3325810,17.153872736369216,46.3131332397461,98.4409332275391,101.48559786692365,-2.701394208004673,4277.705494465872,45.323597019670146
ID.BE.RL,Rejang Lebong,regency,Bengkulu,98.4226379394531,70.1,903341.25,15.95,260899,6079530,23.302235731068343,37.2220726013184,98.5598449707031,102.69896792413456,-3.4308043544057765,1513.378201847624,172.39510895655735
ID.BE.SE,Seluma,regency,Bengkulu,97.3801193237305,66.69,857034.75,19.1,193802,2871220,14.815223785100256,27.6112518310547,97.2637481689453,102.6577216978161,-4.052210363687359,2463.926195994864,78.6557650610749
ID.BT.CL,Cilegon,city,Banten,100,73.01,1575315.125,3.03,437205,74385220,170.1380816779314,88.5852661132813,97.7733001708984,106.01927163669652,-5.998032428470307,164.95882163546432,2650.3887192293437
ID.BT.LE,Lebak,regency,Banten,98.8228759765625,63.88,916311.875,8.3,1302608,20908730,16.051436809846095,37.4124488830566,95.613883972168,106.2128355969024,-6.642154682094268,3322.654013696036,392.03841105051197
ID.BT.PA,Pandeglang,regency,Banten,100,64.91,751014.9375,9.42,1211909,19895910,16.416999956267343,45.0473976135254,97.1249160766602,105.74309820353446,-6.5901565177137575,2792.3832553939037,434.0052525594463
ID.BT.SE,Serang,regency,Banten,100,66.38,1051388.875,4.08,1508397,54404470,36.06773946116308,73.0387191772461,96.9824829101563,106.14670044222012,-6.142345885832956,1473.6679672226278,1023.5663891390845
ID.BT.SR,Serang,city,Banten,99.6963348388672,72.1,1342309.875,5.28,688603,22836710,33.16382589097056,83.6222915649414,97.3501205444336,106.16632341035334,-6.123268340745863,265.88543069153076,2589.848560746785
ID.BT.TM,Tangerang,regency,Banten,100,71.93,1359889.625,5.14,3800787,97539480,25.662969274521302,80.4686050415039,97.3767623901367,106.51856542885733,-6.174549079968318,1031.5218408314738,3684.6403532632116
ID.BT.TN,Tangerang,city,Banten,100,78.43,2015134.375,4.43,2229901,111890540,50.17735764951,89.5194091796875,98.3756332397461,106.651907433353,-6.182875750816736,182.2565074408968,12234.959570500523
ID.BT.TS,Tangerang Selatan,city,Banten,100,81.48,1993539.25,1.68,1747906,60044980,34.35252238964796,78.2545623779297,99.4076995849609,106.7074421735161,-6.301860789552029,164.98353646719053,10594.426798140537
ID.GO.BB,Bone Bolango,regency,Gorontalo,99.6246643066406,69.63,1082307.625,16.12,161236,3154920,19.56709419732566,75.9708938598633,98.9320755004883,123.29119824241813,0.5330849062442414,1909.5730118221463,84.43562985117072
ID.GO.BO,Boalemo,regency,Gorontalo,97.1197357177734,65.53,724067,18.87,167024,3505320,20.98692403486924,75.64892578125,97.9472961425781,122.32579361936624,0.6556044779565489,1848.2935952046175,90.36659567145739
ID.GO.GM,Gorontalo,regency,Gorontalo,99.3013229370117,66.69,897821.6875,15.52,378527,8872520,23.43959611863883,77.3344116210938,98.6138229370117,122.71072674160321,0.6937885598666251,2173.6910664191405,174.14020135969534
ID.GO.GR,Gorontalo,city,Gorontalo,100,77.08,1527333.5,5.45,219399,6175440,28.147074508088004,95.0241241455078,99.8748168945313,123.0559849107365,0.5394018796488075,68.0134520520738,3225.81773723262
ID.GO.GU,Gorontalo Utara,regency,Gorontalo,95.1634979248047,64.52,747300.625,16.95,115072,2326280,20.21586484983315,77.3496932983398,98.3395614624023,122.65997942341686,0.8861347313588117,1709.1117300304754,67.3285414745519
ID.GO.PO,Pohuwato,regency,Gorontalo,99.3553619384766,65.27,928479.25,18.16,161373,4611060,28.573925006041904,91.5680389404297,98.4025268554688,121.71103999972976,0.6881494543054667,4378.680197143639,36.85425578814115
ID.IB.FA,Fakfak,regency,Papua Barat,90.9376754760742,67.87,1332074.25,23.25,78686,3568260,45.34809241796508,61.1141738891602,99.0809783935547,132.91214763991664,-3.0593185291938045,11035.01589145361,7.130574235143664
ID.IB.KA,Kaimana,regency,Papua Barat,95.1348495483398,64.59,1093132.875,16.11,60216,1830510,30.3990633718613,53.8415069580078,98.4550552368164,134.02250532732398,-3.6131395124029995,16227.022404399442,3.710847159715164
ID.IB.MA,Manokwari,regency,Papua Barat,99.7435150146484,71.67,1573311.25,21.06,175178,7038370,40.178389980477,88.7099838256836,97.3788833618164,133.85232291542195,-0.909884417480627,1965.2701859395252,89.13685316823431
ID.IB.MS,Manokwari Selatan,regency,Papua Barat,97.054443359375,59.72,1205459.375,29.94,24220,586480,24.214698596201487,57.3266220092773,92.0858840942383,133.97212844386357,-1.5940247756327612,2385.8666880800347,10.151447321430362
ID.IB.MY,Maybrat,regency,Papua Barat,80.5636367797852,59.15,1187414,32.2,40899,468810,11.462627448103866,16.193244934082,95.7431564331055,132.37577219846517,-1.32231158596639,3317.5803260090333,12.327960736733836
ID.IB.PA,Pegunungan Arfak,regency,Papua Barat,56.788200378418,56.15,477932.59375,34.83,30976,137860,4.450542355371901,36.5915107727051,89.6427230834961,133.73379221991215,-1.1954186463285037,3299.2910946956918,9.38868354168581
ID.IB.RA,Raja Ampat,regency,Papua Barat,88.6926803588867,63.66,1211355.25,17.16,48493,2319050,47.82236611469697,63.9607963562012,99.0580139160156,130.57485790811918,-0.8998020573333935,7822.91146059189,6.198843006760933
ID.IB.SG,Sorong,regency,Papua Barat,97.8403091430664,65.29,1343371.875,28.61,88927,8615360,96.8812621588494,57.4424209594727,97.5764846801758,131.56456821990065,-1.116600481847455,7832.71949782454,11.353272643645491
ID.IB.SR,Sorong,city,Papua Barat,99.9238357543945,77.98,1569978.25,15.45,254294,10487200,41.24045396273605,94.8726806640625,99.2701797485352,131.33801336854447,-0.8703947133397733,298.39894972479686,852.1946884683296
ID.IB.SS,Sorong Selatan,regency,Papua Barat,91.6641616821289,61.93,1075598.25,18.41,46922,1307570,27.866885469502577,53.717601776123,97.2851715087891,132.1511514381798,-1.716562728264756,5669.4988822391615,8.276216465443277
ID.IB.TB,Teluk Bintuni,regency,Papua Barat,97.3157958984375,64,1477830.125,30.57,64406,25420150,394.68605409433906,66.8394165039063,97.6362457275391,133.30839537169322,-2.0029987722829374,20845.73200595754,3.089649237627793
ID.IB.TM,Tambrauw,regency,Papua Barat,75.1796188354492,52.9,526686.3125,33.66,13879,150350,10.832913034080265,19.4970607757568,93.0353546142578,132.75114591758418,-0.8067692868697509,11788.047506706887,1.1773790351712996
ID.IB.TW,Teluk Wondama,regency,Papua Barat,87.9619522094727,59.82,1358775.625,32.42,32521,1013350,31.159865932781894,33.6005439758301,97.9667205810547,134.37439513912787,-2.822870629957566,6462.502244593009,5.032261308258638
ID.JA.BA,Batang Hari,regency,Jambi,98.9555053710938,69.67,972611.3125,9.75,272879,11719200,42.94650742636846,57.9687347412109,97.717399597168,103.0960554874732,-1.749706620283768,5489.85622512457,49.70603761008479
ID.JA.BT,Bungo,regency,Jambi,98.1947937011719,69.86,1110953.375,5.6,374770,12575690,33.55575419590682,71.1947631835938,98.3011474609375,101.93101432535994,-1.598942862621309,4714.9198633086535,79.48597449480476
ID.JA.JA,Jambi,city,Jambi,100,78.26,1531525.25,8.12,604736,19655790,32.50309225844005,91.4321441650391,99.2466354370117,103.60020266918968,-1.6170511777018945,171.92443789985907,3517.4522446438996
