province,mean_deficit,worst_deficit,districts
Papua,23.95770595623896,95.99842691421509,26
Nusa Tenggara Timur,14.262620405717323,36.4742202758789,22
Papua Barat,10.861486581655653,43.211799621582,13
Maluku,8.008155129172591,25.0113906860352,11
Kalimantan Barat,5.752807072230744,16.6393661499023,14
Maluku Utara,5.202144622802718,19.6327667236328,10
Sulawesi Tengah,4.5252785315880475,13.576126098632798,13
Sumatera Utara,3.304375157211769,24.775215148925795,33
Kalimantan Tengah,2.5122413635253844,8.101028442382798,14
Riau,2.444603602091483,8.695671081542997,12
Sumatera Barat,2.089633339329757,25.824516296386705,19
Sulawesi Barat,1.7764498392740837,3.3867645263672017,6
Gorontalo,1.5725695292154995,4.836502075195298,6
Bengkulu,1.388117218017571,2.619880676269503,10
Sulawesi Tenggara,1.3080945696149564,3.112442016601605,14
Jambi,1.2198826182972082,3.945075988769503,11
Sumatera Selatan,1.0284172506893408,5.104354858398395,17
Sulawesi Selatan,0.9907677968343128,2.8250961303710938,24
Kalimantan Timur,0.7989632742745444,3.7594985961914063,14
Lampung,0.6079676310221269,4.0242233276367045,15
Sulawesi Utara,0.5416661580403599,2.866760253906193,15
Kepulauan Riau,0.5229524884905133,1.3466949462891051,7
Nanggroe Aceh Darussalam,0.4478222390879737,1.8846664428710938,23
Kalimantan Selatan,0.42578887939453364,2.5506591796875,12
Kalimantan Utara,0.3343963623047017,0.3343963623047017,1
Nusa Tenggara Barat,0.3079498291015483,1.6005249023436932,10
Kepulauan Bangka-Belitung,0.3003616333007711,0.7462692260742045,7
Banten,0.18509864807128729,1.1771240234375,8
Bali,0.14164564344617897,0.56931304931640625,9
DI Yogyakarta,0.12686767578123864,0.4160461425780966,5
Jawa Timur,0.10043917204203948,1.2555236816405966,38
Jawa Barat,0.088019779750278,1.1065750122070028,28
Jawa Tengah,0.05980507986885998,0.2571182250976989,35
DKI Jakarta,0,0,6
